Breite(x): 128 Höhe(y):054;128;54;
000,000,018,010,040,
000,001,019,010,041,
000,002,019,010,042,
000,003,020,010,042,
000,004,020,010,042,
000,005,021,010,044,
000,006,021,010,043,
000,007,021,011,043,
000,008,021,011,044,
000,009,021,010,044,
000,010,021,010,042,
000,011,022,012,045,
000,012,021,010,042,
000,013,022,011,045,
000,014,021,010,044,
000,015,022,011,044,
000,016,022,011,045,
000,017,021,010,043,
000,018,021,010,044,
000,019,021,010,043,
000,020,021,010,042,
000,021,022,011,044,
000,022,022,011,045,
000,023,021,010,044,
000,024,021,010,043,
000,025,021,010,042,
000,026,021,010,043,
000,027,021,010,043,
000,028,021,010,042,
000,029,021,010,042,
000,030,021,010,043,
000,031,020,010,041,
000,032,020,010,041,
000,033,020,010,042,
000,034,019,011,043,
000,035,018,011,041,
000,036,019,010,041,
000,037,019,037,091,
000,038,008,028,059,
000,039,004,006,011,
000,040,002,007,014,
000,041,004,015,030,
000,042,005,040,079,
000,043,005,036,073,
000,044,000,000,000,
000,045,000,000,000,
000,046,004,028,057,
000,047,004,021,042,
000,048,004,007,014,
000,049,000,034,066,
000,050,053,070,169,
000,051,126,015,132,
000,052,099,006,099,
000,053,075,009,084,
001,000,020,010,042,
001,001,020,009,041,
001,002,020,009,041,
001,003,021,010,043,
001,004,021,010,042,
001,005,021,010,042,
001,006,022,011,045,
001,007,021,010,042,
001,008,021,010,043,
001,009,022,011,045,
001,010,023,012,045,
001,011,022,012,044,
001,012,022,011,043,
001,013,021,010,044,
001,014,021,010,042,
001,015,023,011,044,
001,016,023,011,045,
001,017,022,010,044,
001,018,021,010,044,
001,019,023,012,044,
001,020,022,011,044,
001,021,022,011,045,
001,022,021,010,044,
001,023,023,012,045,
001,024,022,011,044,
001,025,022,011,044,
001,026,021,010,042,
001,027,022,011,044,
001,028,022,011,044,
001,029,021,010,043,
001,030,021,010,042,
001,031,022,011,043,
001,032,021,010,042,
001,033,021,010,042,
001,034,020,010,043,
001,035,020,010,042,
001,036,020,010,041,
001,037,020,018,056,
001,038,016,044,100,
001,039,005,024,049,
001,040,007,037,073,
001,041,003,012,023,
001,042,001,000,000,
001,043,006,034,069,
001,044,003,018,038,
